titre;réalisateur;année de sortie;nationalité;entrées
la famille Bélier;É. Lartigau;2014;FR;7703627.0
Les Grandes Vacances;J. Girault;1967;FR/IT;6987269.0
Harry Potter et les reliques de la mort - 2e partie;D. Yates;2011;GB;6561608.0
Tant qu'il y aura des hommes;F. Zinnemann;1954;US;6401246.0
Spider-Man 3;S. Raimi;2007;US;6320541.0
Pas si bête;A. Berthomieu;1946;FR;6165419.0
Oscar;E. Molinaro;1967;FR;6123033.0
Opération tonnerre;T. Young;1965;GB;5735477.0
La Vérité;H.G. Clouzot;1960;FR/IT;5700674.0
La Guerre des boutons;Y. Robert;1962;FR;10043481.0
Les Misérables;J.P. Le Chanois, J.P. Dreyfus;1958;FR/IT;9969086.0
Vingt mille lieues sous les mers;R. Fleischer;1955;US;9626122.0
Le Monde de Nemo;A. Stanton, L. Unkrich;2003;US;9442586.0
Harry Potter et la coupe de feu;M. Newell;2005;GB;7707386.0
L'As des as;G. Oury;1982;FR/DE;5452975.0
Autant en emporte le vent;V. Fleming;1950;US;16727415.0
Astérix et Obélix contre César;C. Zidi;1999;FR/DE/IT;8776572.0
Shrek 2;A. Adamson, V. Jenson;2004;US;7142430.0
Nous irons à Paris;J. Boyer;1950;FR;6659325.0
Andalousie;R. Vernay;1951;FR/ES;5735108.0
Le Livre de la jungle;W. Reitherman;1968;US;14789420.0
Le Roi lion;R. Aller, R. Minkoff;1994;US;10744990.0
Le Dîner de cons;F. Veber;1998;FR;9249170.0
Les Couloirs du temps - les visiteurs 2;J.M. Poiré;1998;FR;8039466.0
Le Retour de Don Camillo;J. Duvivier;1953;IT/FR;7425550.0
La Chèvre;F. Veber;1981;FR/MX;7080402.0
La Guerre des étoiles;G. Lucas;1977;US;6460540.0
Arthur et les Minimoys;L. Besson;2006;FR;6400105.0
Mourir d'aimer;A. Cayatte;1971;FR/IT;5912514.0
Les Ripoux;C. Zidi;1984;FR;5882397.0
Star Wars : épisode 2 - l'attaque des clones;G. Lucas;2002;US;5624277.0
Love Story;A. Hiller;1971;US;5512408.0
Le Pont de la rivière Kwai;D. Lean;1957;GB;13477043.0
Le Corniaud;G. Oury;1965;FR/IT;11744706.0
Le Bataillon du ciel;A. Esway;1947;FR;8649752.0
Spider-Man;S. Raimi;2002;US;6381831.0
Harry Potter et l'ordre du Phénix;D. Yates;2007;GB;6214754.0
Le Père tranquille;R. Clément;1946;FR;6139259.0
Les Feux de la rampe;C. Chaplin;1952;US;6135655.0
Midnight Express;A. Parker;1978;GB;5974346.0
Trois hommes et un couffin;C. Serreau;1985;FR;10251813.0
Les Anges gardiens;J.M. Poiré;1995;FR;5734326.0
